step,cx_m,cy_m,yaw_rad,loss
0,-0.35193371772766113,0.4377235770225525,3.220115900039673,0.7336103320121765
1,-0.3748278021812439,0.4159961938858032,3.272679567337036,1.0
2,-0.39225757122039795,0.39888888597488403,3.31325626373291,1.0
3,-0.40634506940841675,0.38468772172927856,3.3464438915252686,1.0
4,-0.4181096851825714,0.37256211042404175,3.3744499683380127,1.0
5,-0.428138792514801,0.3620281219482422,3.3985469341278076,1.0
6,-0.4368095099925995,0.3527708649635315,3.4195544719696045,1.0
7,-0.44438254833221436,0.3445688486099243,3.4380412101745605,1.0
8,-0.4510476589202881,0.33725839853286743,3.454423427581787,1.0
9,-0.45694848895072937,0.33071327209472656,3.4690167903900146,1.0
10,-0.46219709515571594,0.3248329162597656,3.4820709228515625,1.0
11,-0.4668831527233124,0.31953561305999756,3.493785858154297,1.0
12,-0.47107967734336853,0.3147534132003784,3.504326343536377,1.0
13,-0.4748471677303314,0.3104288578033447,3.5138301849365234,1.0
14,-0.47823646664619446,0.30651307106018066,3.5224132537841797,1.0
15,-0.48129063844680786,0.3029634952545166,3.53017520904541,1.0
16,-0.4840467870235443,0.299743115901947,3.537202835083008,1.0
17,-0.48653683066368103,0.29681968688964844,3.5435705184936523,1.0
18,-0.4887887239456177,0.29416424036026,3.5493452548980713,1.0
19,-0.4908267557621002,0.2917514443397522,3.554584503173828,1.0
20,-0.49267253279685974,0.2895583510398865,3.559340000152588,1.0
21,-0.4943450093269348,0.2875646948814392,3.5636584758758545,1.0
22,-0.49586114287376404,0.28575193881988525,3.567580223083496,1.0
23,-0.4972360134124756,0.28410375118255615,3.5711426734924316,1.0
24,-0.4984830617904663,0.2826051712036133,3.5743789672851562,1.0
25,-0.4996144473552704,0.2812425494194031,3.577320098876953,1.0
26,-0.5006409883499146,0.2800036668777466,3.579991102218628,1.0
27,-0.5015724897384644,0.2788774371147156,3.582418203353882,1.0
28,-0.5024176836013794,0.2778538465499878,3.584622859954834,1.0
29,-0.5031847953796387,0.2769234776496887,3.586625814437866,1.0
30,-0.5038807988166809,0.27607816457748413,3.588444471359253,1.0
31,-0.5045123100280762,0.275310218334198,3.5900964736938477,1.0
32,-0.5050853490829468,0.2746127247810364,3.5915958881378174,1.0
