step,cx_m,cy_m,yaw_rad,loss
0,-0.3480857014656067,0.4420360326766968,1.6304341554641724,0.7467519640922546
1,-0.3307309150695801,0.45785754919052124,1.600430965423584,0.7467415928840637
2,-0.3425830006599426,0.4532182216644287,1.5993098020553589,0.9126608967781067
3,-0.3513588309288025,0.44957900047302246,1.5974690914154053,0.9923557043075562
4,-0.321982741355896,0.4656658172607422,1.5855566263198853,0.7467155456542969
5,-0.3224625587463379,0.46573805809020996,1.5831496715545654,0.8413147330284119
6,-0.3177894949913025,0.46777641773223877,1.5735737085342407,0.8502550721168518
7,-0.3126935362815857,0.4711993932723999,1.5652165412902832,0.7794659733772278
8,-0.30694878101348877,0.47168266773223877,1.55704665184021,0.7373919486999512
9,-0.30146652460098267,0.47159790992736816,1.5486053228378296,0.7282937169075012
10,-0.29734092950820923,0.4722142219543457,1.5428858995437622,0.7890121340751648
11,-0.2956952452659607,0.47263944149017334,1.538826823234558,0.8954076766967773
12,-0.29591506719589233,0.47372376918792725,1.5356789827346802,0.9339841604232788
13,-0.2968040704727173,0.47493207454681396,1.5325599908828735,0.9284913539886475
14,-0.29897540807724,0.47714388370513916,1.5301530361175537,0.9073359370231628
15,-0.30198216438293457,0.4793105125427246,1.5280165672302246,0.8477895259857178
16,-0.3048238158226013,0.4799337387084961,1.5243074893951416,0.7806683778762817
17,-0.3069905638694763,0.4783291816711426,1.5198867321014404,0.7565472722053528
18,-0.3087271451950073,0.47476696968078613,1.51577627658844,0.7444921135902405
19,-0.31074923276901245,0.4698643684387207,1.510327935218811,0.7264431715011597
20,-0.31344300508499146,0.4670095443725586,1.5045151710510254,0.726497232913971
21,-0.3169119954109192,0.46729159355163574,1.4973747730255127,0.7499122023582458
22,-0.3200206756591797,0.46828508377075195,1.492591381072998,0.7654320001602173
23,-0.3209792375564575,0.46964097023010254,1.4868439435958862,0.8018895387649536
24,-0.3190881013870239,0.4695686101913452,1.4803977012634277,0.8149794340133667
25,-0.31685638427734375,0.4695565700531006,1.4748902320861816,0.7875074148178101
26,-0.31421005725860596,0.46945011615753174,1.4694337844848633,0.7530394196510315
27,-0.31140077114105225,0.4704005718231201,1.465511441230774,0.7345360517501831
28,-0.30893540382385254,0.4713362455368042,1.4626063108444214,0.7203876376152039
29,-0.3063594102859497,0.47334444522857666,1.4596185684204102,0.7109360694885254
30,-0.303952157497406,0.4748060703277588,1.4569048881530762,0.7164360284805298
31,-0.30191248655319214,0.47539186477661133,1.4520626068115234,0.7350165247917175
32,-0.30116409063339233,0.4766061305999756,1.4477452039718628,0.7728658318519592
33,-0.3008498549461365,0.4779723882675171,1.4437000751495361,0.788279116153717
34,-0.3019779324531555,0.47916173934936523,1.4395740032196045,0.7963786721229553
35,-0.30348455905914307,0.47862350940704346,1.4354077577590942,0.7717717289924622
36,-0.30496203899383545,0.47773897647857666,1.4320015907287598,0.7501333355903625
37,-0.3074541687965393,0.4768482446670532,1.4268110990524292,0.7357746958732605
38,-0.3096846342086792,0.4752854108810425,1.4197217226028442,0.7266374230384827
39,-0.31199008226394653,0.4725304841995239,1.4128895998001099,0.7183249592781067
40,-0.3150264024734497,0.4705618619918823,1.4079742431640625,0.7147016525268555
41,-0.3176153898239136,0.46908700466156006,1.4034113883972168,0.7314798831939697
42,-0.3185161352157593,0.46743035316467285,1.3999208211898804,0.7543602585792542
43,-0.31946325302124023,0.4666682481765747,1.3965038061141968,0.7683718800544739
44,-0.3196820616722107,0.46553289890289307,1.392823338508606,0.782922089099884
45,-0.3186781406402588,0.4637390971183777,1.3878613710403442,0.7886888384819031
46,-0.3176010251045227,0.46329987049102783,1.3825387954711914,0.7848064303398132
47,-0.31653428077697754,0.4639098048210144,1.3754549026489258,0.7812330722808838
48,-0.31486260890960693,0.4645000696182251,1.3672925233840942,0.7742254734039307
49,-0.31269246339797974,0.4664703607559204,1.3588303327560425,0.7657181024551392
50,-0.3109135627746582,0.47030067443847656,1.3493800163269043,0.7427321672439575
51,-0.3104044795036316,0.475394606590271,1.3416988849639893,0.701233446598053
52,-0.30915260314941406,0.4787583351135254,1.333194375038147,0.7097657322883606
53,-0.3085426092147827,0.48186469078063965,1.3246121406555176,0.7265558838844299
54,-0.3089321255683899,0.48498761653900146,1.3155033588409424,0.7574161291122437
55,-0.30934351682662964,0.4869561195373535,1.3073810338974,0.8027216792106628
56,-0.30997753143310547,0.48760807514190674,1.2989075183868408,0.8362279534339905
57,-0.30978524684906006,0.48661768436431885,1.2933586835861206,0.8529610633850098
58,-0.3089863657951355,0.4844026565551758,1.2894142866134644,0.8354858756065369
59,-0.3083803653717041,0.4812748432159424,1.2869980335235596,0.7950448393821716
60,-0.3085934519767761,0.4776875972747803,1.2844464778900146,0.7457271218299866
61,-0.3062410354614258,0.4725888967514038,1.2800533771514893,0.7100058197975159
62,-0.3040967583656311,0.4679408073425293,1.2782856225967407,0.6902202367782593
63,-0.3036295771598816,0.46537071466445923,1.2777220010757446,0.7695235013961792
64,-0.3019160032272339,0.4633052349090576,1.2741135358810425,0.8285252451896667
65,-0.30107325315475464,0.46382856369018555,1.2723138332366943,0.9019992351531982
66,-0.30120140314102173,0.4654245376586914,1.2721470594406128,0.9099412560462952
67,-0.30159634351730347,0.4671822786331177,1.2718391418457031,0.8852169513702393
68,-0.30310511589050293,0.4697355031967163,1.2722935676574707,0.8492136597633362
69,-0.30680400133132935,0.4737107753753662,1.273065447807312,0.76494961977005
70,-0.30914294719696045,0.47640979290008545,1.2718623876571655,0.6876860857009888
71,-0.31240659952163696,0.4795241355895996,1.2709929943084717,0.6982009410858154
72,-0.31453967094421387,0.4815465211868286,1.2700194120407104,0.7491870522499084
73,-0.3164103627204895,0.48225700855255127,1.2689611911773682,0.8045847415924072
74,-0.3175370693206787,0.4818994998931885,1.268553614616394,0.8452308773994446
75,-0.31818562746047974,0.4807469844818115,1.2682541608810425,0.8563417792320251
76,-0.31900060176849365,0.47895538806915283,1.2678016424179077,0.8490774631500244
77,-0.3199865221977234,0.4769928455352783,1.2676500082015991,0.8351880311965942
78,-0.3209070563316345,0.47514092922210693,1.2657253742218018,0.8243522644042969
79,-0.3215305209159851,0.4733783006668091,1.2625426054000854,0.8194246888160706
80,-0.3218080997467041,0.4714353084564209,1.2589937448501587,0.8148947358131409
81,-0.32188475131988525,0.46958673000335693,1.2560021877288818,0.8036372661590576
82,-0.3214675784111023,0.46723198890686035,1.2534983158111572,0.7951105833053589
83,-0.3217061161994934,0.46653997898101807,1.2523999214172363,0.7852059006690979
84,-0.3233351707458496,0.46715784072875977,1.2511359453201294,0.7893076539039612
85,-0.3248433470726013,0.46819090843200684,1.2494531869888306,0.8079765439033508
86,-0.3251454830169678,0.4683969020843506,1.2471243143081665,0.8320572376251221
87,-0.3256925940513611,0.4689333438873291,1.2450889348983765,0.8380774259567261
88,-0.32586759328842163,0.46918654441833496,1.2426838874816895,0.8483483791351318
89,-0.32572150230407715,0.46913909912109375,1.2397987842559814,0.8497112989425659
90,-0.32565200328826904,0.4691464900970459,1.2370436191558838,0.8485981822013855
91,-0.324646532535553,0.4682115316390991,1.2311068773269653,0.8473676443099976
92,-0.32366764545440674,0.46714305877685547,1.224487066268921,0.8267518281936646
93,-0.3226780295372009,0.4661918878555298,1.2174898386001587,0.8104917407035828
94,-0.321075975894928,0.46464312076568604,1.2106976509094238,0.7957066893577576
95,-0.3195173740386963,0.46345949172973633,1.2048146724700928,0.7765756845474243
96,-0.31912022829055786,0.4638906717300415,1.199088215827942,0.7737199068069458
97,-0.3179561495780945,0.46457064151763916,1.1928901672363281,0.7684631943702698
98,-0.316341757774353,0.46501046419143677,1.1877232789993286,0.7541754245758057
99,-0.31487226486206055,0.4666259288787842,1.182365894317627,0.7461862564086914
100,-0.3131077289581299,0.4681222438812256,1.1762793064117432,0.7244594097137451
